aequalis,aequalitas,aequal ,aequaliissimus aequalium aequalia aequaliiorem aequaliioris aequaliiorum aequaliissimo aequalies aequalius aequaliissimum aequaliissimos aequaliium aequalior aequaliissimarum aequalissimis aequaliissimam aequaliores aequalioribus aequalem aequaliissimorum aequaliioribus aequalissimo aequale aequalie aequaliorem aequalissimus aequalissimas aequalissimorum aequaliiori aequalissima aequalissime aequaliissimi aequaliior aequalis aequaliius aequales aequalissimos aequalibus aequaliori aequaliore aequaliiore aequalissimae aequalii aequaliissima aequalissimarum aequaliorum aequali aequaliora aequalissimi aequaliissimae aequaliem aequaliis aequaliiores aequalissimum aequalioris aequaliissimis aequaliibus aequaliissime aequalissimam aequaliiora aequaliia aequaliissimas,20
aequalitas,aequalitas,aequalit ,aequalitati aequalitatis aequalitatibus aequalitatem aequalitate aequalitas aequalitates aequalitatum,4
aequatio,aequatio,aequati ,aequatio aequatione aequationibus aequationi aequationum aequationis aequationes aequationem,36
aequus,aequalitas,aequ ,aequis aequissimus aecioris aecissimam aeque aeci aequas aecis aequissimarum aecissimus aequior aequorum aecissime aece aequissimis aecissimas aequiorem aecior aecius aecum aequam aequiores aecae aeciore aeciora aequioris aecus aecissimum aequus aequioribus aequissimas aequos aecissimae aequiori aequissimorum aeciori aeca aequi aequarum aecos aeciores aecioribus aequae aequiorum aequissimum aeco aequissimi aecarum aequissime aequa aecissimi aecissimorum aequissima aecissima aequissimam aecorum aequiore aequum aeciorum aequiora aequissimo aecam aecissimis aequé aequo aecissimo aequissimos aeciorem aecissimarum aecas aecissimos aequissimae aequius,107
aer,aer,ae ,aere aeras aerum aeros aëre aeribus aerem aera aeris aeres aer aeri,85
aerarius,aer,aerar ,aerarii aerariae aerariarum aerarium aerarias aerarios aerario aerarius aerariorum aerariis aerariam aeraria,6
aerius,aer,aer ,aeriissimas aeriissimum aeriissimae aeria aeriiores aeriissimis aeriarum aeriiora aeriissima aerius aerio aeriae aeriissimos aeriiorem aeriissimarum aerie aeriis aeriioris aeriissimorum aeriiorum aeriorum aerias aeriiori aeriior aeriissimo aeriissime aëria aerium aeriissimam aeriissimus aeriiore aeriioribus aeriissimi aerii aerios aeriius aeriam,10
aes,aes,a ,aes aeris aeri aere aera aerum aeribus,38
Aesculapius,Aesculapius,aesculap ,Aesculapius Aesculapii Aesculapij Aesculapium Aesculapio Aesculapia,11
Africa,Africa,afric ,Africa Africae Africam Africanus Africani Africano Africanum Africana Africanis Africæ,49
ager,ager,age ,agro agros ager agris agri agrorum agrum,138
agnus,agnus,agn ,agnos agne agni agnum agnis agnus agno agnorum,6
alanus,alanus,alan ,Alanus Alani Alano Alanum,10
albedo,albedo,albed ,albedinis albedinibus albedines albedini albedinem albedine albedo albedinum,4
Albertus,Albertus,albert , Albertus Alberti Alberto Albertum Albertus,23
albus,albus,alb ,albiori albissima albis albioris albe albae albiorum albarum albus albissimos albas albo albissimas albissimae albos albam albissime album albiores albi albissimo alborum alba albius albissimi albissimam albissimarum albissimus albiora albioribus albiorem albiore albissimis albior albissimum albissimorum,52
Alchemia,Alchemia,alchem ,Alchemia Alchemiae Alchemiam Alchymiae Alchymia Alchymiam,6
Alemanni,Alemannus,alemann ,Alemanni Alemannorum Alemannis Alemanni Alemannus Alemanno Alemannum Alemannis Alemannas Alemannos Alemannarum Alemannae,5
alembicum,alembicum,alembic ,alembicum alembici alembico alembia alembicorum alembicis,3
Alexander,Alexander,alexande ,Alexander Alexandri Alexandro Alexandrum,25
alga,alga,alg ,algas algae algam algis algarum alga,5
allegoria,allegoria,allegor ,allegoriae allegoria allegorias allegoriarum allegoriam allegoriis,46
allegorica,allegoria,allegoric ,allegorica,27
allegoricus,allegoria,allegoric ,allegoricior allegorica allegoricissime allegoricum allegorico allegoricissimo allegoricus allegoricae allegorice allegoricissimorum allegoricam allegoriciora allegoricissimarum allegoricissimam allegoricissimus allegoriciorem allegoriciores allegoricis allegoricè allegoricissimis allegoricioribus allegoricissimum allegoricius allegoricissimos allegorici allegoricarum allegoricorum allegoricas allegoricissimae allegoriciorum allegoriciori allegoricioris allegoricissima allegoricissimas allegoriciore allegoricissimi allegoricos,55
alvus,alvus,alv ,alvus alve alvo alvorum alvum alvis aluum alvi alvos,9
america,america,americ ,America Americae Americam Americas Americarum Americis,5
ammonem,ammon,ammon ,Ammonem Ammon Ammoni,7
amor,amor,amo ,amores amorem amore amorum amoribus amoris amor amori,171
amphio,amphio,amphi ,Amphio,5
Anaxagoras,Anaxagoras,anaxagor ,Anaxagoras Anaxagora Anaxagoram,19
anglia,anglia,angl ,Anglia Angliæ Angliam Angliae Angliarum Anglias Angliis Angli,80
animal,animal,animal ,animale animalibus animal animalia animalis animali animalium,74
animalcula,animal,animalcul ,animalcula animalculum animalculi animalcularum animalculis animalculi,9
animalis,animal,animal ,animali animalissimam animaliissima animaliiorem animalissimo animaliiore animalissimos animaliissimae animalibus animaliium animaliissimam animalie animaliiori animaliioribus animaliibus animales animalissimae animalium animaliissimo animalis animalioris animaliissimos animaliiora animaliiorum animalem animaliore animaliorum animaliioris animaliorem animaliiores animaliia animalissimus animaliissimas animalius animaliissimarum animaliior animalissimis animalior animaliissime animalissimarum animaliius animale animaliora animalioribus animaliissimorum animaliissimus animalissimi animalissimorum animaliis animalissime animalia animaliores animaliissimis animaliissimi animalissima animalii animalies animaliissimum animalissimas animaliem animaliori animalissimum,74
anser,anser,anse ,anser anserem anseri anseres ansere anseris anseribus anserum Anser,9
antimonium,antimonium,antimoni ,antimonium antimonio antimonia antimoniis antimonii,4
antrum,antrum,antr ,antri antris antrum antrorum antro antra,9
Anubis,Anubis,anub ,Anubis Anubi Anumbem Anube,6
apex,apex,apex ,apices apici apicum apicis apicibus apice apex apicem,35
apis,apis,ap ,api apem apium apis Apim ape apes apibus apum,6
Apollo,Apollo,apoll ,Apollo Apollinis Apollini Apollinem Apolline,91
Apollonius,Apollonius,apollon ,Apollonium Apollonius Apollonii Apollonio,22
aqua,aqua,aqu ,aquis aquarum aqua aquas aquam aquae,1429
aquila,aquila,aquil ,aquolam aquolas aquilas aquilae aquilam aquolis aquila aquolae aquilis aquilarum aquola aquolarum Aquila,86
aquosus,aqua,aquos ,aquosus aquosissimorum aquosissima aquosarum aquosa aquosissimis aquosissimam aquosi aquosissimarum aquose aquosissimo aquosae aquosissime aquoso aquosissimi aquosissimus aquosioribus aquosorum aquosiore aquosos aquosissimas aquosioris aquosior aquosiora aquosissimum aquosissimae aquosis aquosissimos aquosam aquosas aquosum aquosiorem aquosiores aquosiorum aquosius aquosiori,6
arabia,arabia,arab ,Arabia Arabiae Arabiam Arabiarum Arabibus Arabum,29
Arabs,Arabs,arab ,Arabs Arabis Arabi Arabem Arabe Arabes Arabum Arabibus,45
arbiter,arbitrium,arbite ,arbitros arbitro arbitris arbitrorum arbitri arbitrum arbiter Arbiter,53
arbitrium,arbitrium,arbitri ,arbitriorum arbitrio arbitriis arbitria arbitrium arbitrii,52
arbor,arbor,arbi ,arboribus arborum arborem arbor arbori arboris arbos arbore arbores,301
arca,arca,arc ,arcae arca arcis arcas arcam arcarum,4
Arcadia,Arcadia,arcad ,Arcadiae Arcadia Arcadiam Arcadias,6
arcanus,arcanus,arcan ,arcanissimis arcanissime arcanorum arcanissimam arcano arcanissimarum arcanissimas arcaniore arcanissimo arcanius arcanas arcanioris arcanae arcanioribus arcanissimos arcanis arcaniora arcanarum arcanos arcaniores arcana arcaniorem arcanum arcanissimus arcanissimorum arcaniori arcane arcani arcanissimi arcanior arcaniorum arcanam arcanissimae arcanissimum arcanus arcanissima,168
arcus,arcus,arc ,arcum arcu arcuum arcui arcus arcubus,7
Aretmis,Aretmis,aretm ,Aretmis Aretmidis Aretmidi arthemis,6
argentum,argentum,argent ,argentum argentis argenti argento argentorum argenta,939
Argonautis,Argonautis,argonaut ,Argonauticis Argonautis,5
Argus,Argus,arg ,Argus Argum Argi,22
aries,aries,ari ,arietibus ariete arieti arietum aries arietem arietes arietis,13
Aristoteles,Aristoteles,aristotel ,Aristoteles Aristotelis Aristoteli Aristotelem Aristotele Ariſtoteles Ariſtotelis Ariſtotele Ariſtotelem,21
arithmetica,arithmetica,arithmetic ,arithmeticas arithmetica arithmeticarum arithmeticam Arithmetica arithmeticis arithmeticae,3
Arnoldus,Arnoldus,arnold ,Arnoldum Arnoldi Arnoldo Arnoldus,27
ars,ars,ar ,artibus artem artis artium arte arti artes ars,481
arsenicum,arsenicum,arsenic ,arsenica arsenici arsenicis arsenicum arsenico arsenicorum,4
arthritis,arthritis,arthrit ,arthritis arthritidis arthritide arthritidi arthritidem arthritides arthritidibus arthritidum arthriticis arthritici,7
articulus,articulus,articul ,articulis articulum articuli articulus articule articulo articulos articulorum,42
artifex,artifex,artifex ,artificem artificis artifices artificibus artifice artificum artifex artifici,393
artificium,artificium,artifici ,artificium artificiorum artificio artificii artificia artificiis,173
arx,arx,arx ,arcis arces arcibus arce arx arcum arci arcem,5
Asia,Asia,as ,Asia Asiam Asias Asiae Aſiæ,9
astralis,astralis,astral ,astralissimi astraliis astraliissimae astralissimarum astraliiores astralies astralissime astraliissimorum astraliioribus astrales astraliissimi astralius astralissimo astralia astralibus astralem astraliiora astralissimam astraliissimum astraliissima astraliissimas astralie astraliia astraliissimis astraliora astraliissimos astraliissimus astraliiori astralissimae astraliiorem astraliori astraliem astraliore astralissimorum astraliissimarum astralium astraliioris astralissimas astraliores astraliibus astraliiore astralissimus astralioribus astralii astraliissime astraliium astralis astrale astralissimis astraliorum astraliius astralissima astraliiorum astraliissimam astralior astralissimum astrali astralissimos astralioris astraliior astraliorem astraliissimo,4
astrologus,astrologus,astrolog ,astrologos astrologis astrologus astrologorum astrologum astrologo astrologe astrologi,5
astronomia,astronomia,astronom ,Astronomia astronomias astronomiarum astronomiis astronomia astronomiam astronomiae Astronomiae,5
Atalanta,Atalanta,atalant ,Atalanta Atalantae Atalantam,48
Athenae,Athenae,athen ,Athenae Athenaerum Athenas Athenis,32
athenienses,athenienses,atheniens ,Athenienses Atheniensium Atheniensibus,9
atlas,atlas,atl ,Atlas Atlantis Atlanti Atlantem,5
augmentatio,augmentatio,augmentati ,augmentationis augmentationi augmentationum augmentationes augmentationem augmentationibus augmentatio augmentatione,7
Augustinus,Augustinus,augustin ,Augustinus Augustii Augustino Augustinum,5
Augustus,Augustus,august ,Augustus Augustum Augusto Augusti augustorum Auguſti Auguſtus Auguſto Auguſtum,10
Auicenna,Auicenna,auicenn ,Auicenna Auicennae Auicennam Auicenna Auicennæ Avicennæ Avicenna Avicennae Avicennam,5
aureus,aureus,aure ,aureae aureas aureus aureorum aureo aurea aureos aurearum aurei aureum auream aureis,576
aurifer,aurifer,aurife ,auriferas aurifero auriferrimus auriferrimas auriferarum auriferae auriferrimae iora aurifera auriferrima iores iore ior auriferorum auriferrimarum auriferam auriferrimis auriferrimorum ius auriferrimos aurifer auriferis auriferrimam auriferum ioribus ioris iorum iori auriferos auriferrimo auriferrime iorem auriferi auriferrimum auriferrimi,5
aurificium,aurificium,aurifici ,aurificium aurificii aurificio aurificia,7
aurum,aurum,aur ,aura auri oris aurum auris auro aurorum auru̅,31
Austria,Austria,austr ,Austriae Austria Austriam,4
avis,avis,av ,auium avem ave aves avi avis avium avibus,7
Bacchus,Bacchus,bacch ,Bacchus Bacchi Baccho Bacchum,21
balneum,balneum,balne ,balneum balnea balneis balneorum balnei balneo,6
Barbarossa,Barbarossa,barbaross ,Barbarossa Barbarossae Barbarossam,4
Basilius,Basilius,basil ,Baſilius Baſilii Baſilium Baſilio Basilius Basilii Basilium Basilio BASILII,11
Bernhardus,Bernhardus,bernhard ,Bernhardus Bernhardi Bernhardo Bernhardum,44
Bertius,Bertius,bert ,Bertius Bertii Bertio Bertium,6
bestia,bestia,best ,bestiam bestiae bestiis bestiarum bestia bestias,4
bombyx,bombyx,bombyx ,bombyci bombycem Bombyx bombycum bombycis bombyce bombyces bombycibus bombyx,4
Boreas,Boreas,bore ,Boreae Boreas Borea Boream,4
bos,bos,b ,bove boves boues bovibus bovis bovi bovem bos bovum,5
Brachmani,Brachmani,brachman ,Brachmani Brachmano Brachmanus Brachmanum,24
brassica,brassica,brassic ,brassicae brassicam brassica brassicis brassicarum brassicas,8
bufo,bufo,buf ,bufo bufonem bufonum bufoni bufone bufonibus bufones bufonis,39
butyrum,butyrum,butyr ,butyro butyra butyris butyrorum butyri butyrum,5
cadaver,cadaver,cadave ,cadaveribus cadavera cadaverum cadauer cadaver cadaveris cadavere cadaveri,26
Cadmus,Cadmus,cadm ,Cadmo Cadmus Cadmi Cadmum,7
caelestis,caelum,caelest ,caelestissima caelestiem caelestiissimis caelestiiori caelestiibus caelestioris caelestiiora caelestiissimum caelestem caelestii caelestiore caelesties caelestiissimus caelestes caelestioribus caelestissimi caelestiiore caelestia caelestiissimos caelestiiorum caeleste caelestiiorem caelestissimus caelestiioribus caelestiissimas caelestiissima caelestissimos caelestiia caelestius caelestiissimorum caelestiissime caelestiorum caelestissime caelestissimarum caelestiissimarum caelestiori caelestissimae caelestiissimam caelestie caelestiissimi caelestissimum caelestiores caelestiioris caelestissimorum caelestiior caelestiora caelestissimo caelestiiores caelesti caelestiium caelestibus caelestiius caelestior caelestiorem caelestiis caelestissimas caelestiissimae caelestis caelestium caelestiissimo caelestissimam caelestissimis,6
caelum,caelum,cael ,coelum coelo caelo caelis coelorum coeli caelorum caelum coela caela caeli coelis,122
Caesar,Caesar,caesa ,Caesar Caesari Caesaris Caesare Caesarem Cæſar Cæſari Cæſaris Cæſarem Cæſare,11
caliditas,caliditas,calidit ,caliditas caliditatis caliditati caliditatem caliditate,4
calidum,caliditas,calid ,calido calidis calidorum calidum calidi calida,191
calidus,caliditas,calid ,calidum calidiore calidissimos calidam calidae calidius calidas calidiori calidior calide calidorum calidiores calidissimi calidissimorum calidissimam calidissimus calidiora calidissime calidi calido calidissimo calidos calidissimarum calidissimum calidus calidiorem calidiorum calidioribus calidissima calidissimis calidissimae calidis calidissimas calidarum calida calidioris,21
calor,calor,calo ,caloribus calorem calorum calore calori calores calor caloris,543
calumnia,calumnia,calumn ,calumniis calumniae calumniarum calumniam calumnia calumnias,68
calumniator,calumnia,calumniato ,calumniator calumniatori calumniatore calumniatorum calumniatores calumniatorem calumniatoris calumniatoribus,51
calx,calx,calx ,calci calcem calcis calces calcibus calx calce calcum,3
campana,campana,campan ,campanae campana campanam,4
canis,canis,can ,canem canis canes canibus cane canum cani,4
cantilena,cantilena,cantilen ,cantilenis cantilenae cantilenam cantilenas cantilena cantilenarum CANTILENA,2
capra,capra,capr ,capra caprarum caprae capris capram capras,5
caput,caput,capu ,capitibus capiti capitum capitis capite caput capita CAPVT CAPITIS CAPITI,242
caries,caries,cari ,carie caries cariei cariem carierum cariebus,3
carmen,carmen,carmen ,carminis carmina carminum carmini carmen carminibus carmine,77
caro,caro,car ,carnum carnibus carnem caro carnes carne carnis carni,71
Carolus,Carolus,carol ,Caroli Carolus Carolo Carolum,28
castor,castor,casto ,castori Castor castorum castore castor castorem castoribus castores castoris,6
castra,castra,castr ,castris castrorum castra,5
catena,catena,caten ,catenae catena catenam catenarum catenis catenas,5
cauda,cauda,caud ,caudas caudam caudarum cauda caudis caudae,52
Celsitudo,Celsitudo,celsitud ,Celsitudini Celsitudinis Celsitudo Celsitudinem Celsitudine,2
cerebrum,cerebrum,cerebr ,cerebra cerebri cerebrorum cerebris cerebro cerebrum,121
Ceres,Ceres,cer ,Ceres Cereris Cereri Cerere Cererem,8
cervus,cervus,cerv ,cervo cervis cervum cerve cervorum cervus cerui cervi cervos,7
chalybs,chalybs,chalyb ,chalybe chalybs chalybis chalybi chalybem chalybum chalybes chalybibus,5
charta,charta,chart ,chartas chartis chartarum charta chartae chartam,20
chemia,Chymia,chem ,Chemia Chemiae Chemiam Chemica Chemicae Chemicam Chemicis Chemicorum Chemici Chemicus Chemicis Chemico Chemicum,146
chiro,chiro,chir ,Chiro Chironis Chironi Chironem Chirone Chiron,23
Christianus,Christianus,christian ,Christianus Christiani Christiano Christianum Christianis Christianorum Christianos Chriſtiani Chriſtiano Chriſtianus Chriſtianum Chriſtianorum Chriſtianis Chriſtianos,15
Christus,Christus,christ ,Christus Christi Christum Christo Chriſti Chriſto Chriſtus Chriſtum,30
chronicus,chronicus,chronic ,chronicis chroniciora chronico chroniciore chronicissimus chronicioris chroniciorum chronicius chroniciores chroniciori chronicos chronicissime chronicissima chronicissimas chronicissimam Chronicis chronice chronicam chronicissimum chronica chronicus chronici chronicissimos chronicior chronicissimi chronicarum chronicissimarum chronicissimo chronicissimorum chronicissimis chronicas chronicum chronicioribus chroniciorem chronicae chronicorum chronicissimae,6
Chrysopoeia,Chrysopoeia,chrysopoe ,Chrysopoeia Chrysopoeiae Chrysopoeiam,6
Chymia,Chymia,chym ,chymia Chymia Chymiae Chymiam Chymica Chymicae ,4
chymici,chymicus,chymic ,chymici chymicorum chymicis chymicos Chymico Chymicus Chymici Chymicum,20
cibinensis,cibinensis,cibinens ,Cibinensis,6
cibus,cibus,c ,cibos cibe cibo cibis cibum cibus cibi ciborum,154
cicero,cicero,cicer ,Cicero Ciceronis Ciceroni Cicerem Cicerone,51
cineritium,cineritium,cineriti ,cineritium cineritio cineritii cineritia cineritiorum cineritiis,23
cinis,cinis,cin ,cineri cineris cineribus cinis cinerum cinerem cineres cinere,153
cinnabaris,cinnabaris,cinnabar ,cinnabaris cinnabarium cinnabarem cinnabaribus cinnabarim cinnabari cinnabare cinnabares,4
Circe,Circe,circ ,Circe Circem,3
claustra,claustra,claustr ,claustra claustris claustrorum claustrum,5
clava,clava,clav ,clavas clavae clava clavam clavis clavarum,5
clavus,clavus,clav ,clauis clavos clavorum clavum clave clavus clavi clavo clavis,4
coagulatio,coagulatio,coagulati ,coagulationis coagulationi coagulatio coagulatione coagulationes coagulationibus coagulationem coagulationum,35
coagulo,coagulatio,coagul ,coagulat coagularentur coagulabamur coagulamus coagulavissemus coagulem coagulanda coaguletis coagulere coagulabam coagulature coagulabaris coagulo coagulaturis coagulabor coagulor coagulantia coagulaturum coagulaveras coagulaverit coagulabamus coagulaturos coagulaverimus coagulabunt coagularet coagulas coagulabar coagulandorum coagulantes coagulaverat coagulaveris coagulans coagulaverant coagulabimini coagulare coagulantur coagulavimus coaguletur coagulaturus coagulandum coagulent coagulatura coagularemus coagulavissetis coagulaturas coagulatu coagulaturorum coagulata coagularemur coagularere coagulaverim coagulabatis coagulantem coagulabantur coagulato coagulanto coagularer coagulantium coagulamini coagulatorum coagulatam coagulanti coagulamur coagulatae coagulemur coagulares coagulemini coagulaverunt coagulande coaguleris coagulavero coagulate coaguler coagules coagulet coagulatos coagulabis coagulatote coagulentur coagulandi coagulasse coagulandas coagulabit coagulant coagulantis coagulabo coagulaturam coagulaturae coagularem coagulavissem coagulator coagulandos coagulandarum coagulante coagulaveramus coagulabamini coagulandis coagulaturi coagularis coagularetis coagulando coagulavit coagulaveritis coagulaverint coagularemini coagulaturarum coagulabitis coagulandus coagulandam coagulatum coagulavissent coagularent coagulatur coagulatarum coagulantor coagulabimur coagulaturo coagulari coagulavistis coagulavisti coagulavere coagulaveratis coagulaberis coagulavisset coagulantum coagulatas coagulandae coagulabuntur coagulabimus coagulaveram coagulabat coagulemus coagulavisses coagulabere coagulabitur coagulabatur coagulatis coagulabas coagulareris coagulatus coagulati coagulantibus coagulabant coagularetur coagulavi coagula coagulabare,7
coccyx,coccyx,coccyx ,coccygum coccyx coccygem coccyge coccygibus coccygis coccyges coccygi,3
cocio,cocio,coci ,cociones cocionibus cocione cocionum cocioni cocio cocionis cocionem coctio,5
coelestis,coelestis,coelest ,coelesties coelestiiori coelestiis coelestiiorum coelestia coelestiioribus coelestissimos coelestissimis coelestiissimis coelestissimae coeleste coelestem coelestiorem coelestiiores coelesti coelestiorum coelestiioris coelestissimorum coelestioribus coelestiissimarum coelestiiore coelestiissimus coelestiissima coelestiissimum coelestiissimo coelestiem coelestes coelestioris coelestiiora coelestiissimorum coelestissimarum coelestis coelestior coelestiior coelestius coelestissima coelestiissimas coelestie coelestiiorem coelestiissimam coelestissimus coelestissimas coelestiibus coelestiissimae coelestissimi coelestiissimos coelestiori coelestissime coelestibus coelestissimo coelestiissime coelestiia coelestissimum coelestiius coelestium coelestiium coelestiores coelestiora coelestii coelestiissimi coelestissimam coelestiore,44
Coelidonia,Coelidonia,coelidon ,Coelidonia Coelidoniae Coelidoniam Coelidoniae Coelidoniarum Coelidonias Coelidoniis,4
cognitio,cognitio,cogniti ,cognitio cognitionum cognitione cognitionibus cognitioni cognitionis cognitiones cognitionem,144
coitus,coitus,coit ,coitus coite coitiores coitissima coitissimas coito coitiore coitiorem coitiori coitissimos coitos coitissimi coita coitius coitissime coitis coitissimo coiti coitiora coitorum coitam coitarum coitissimam coitioris coitiorum coitae coitissimae coitioribus coitissimus coitissimarum coitum coitissimis coitissimorum coitior coitissimum coetu coitas,3
Colchi,Colchi,colch ,Colchos Colchi Colchis,5
collatio,collatio,collati ,collatione collationem collationis collationum collationibus collatio collationi collationes,4
collegium,collegium,collegi ,collegia collegiis Collegium collegio collegiorum collegium collegii,54
color,color,colo ,color colori colore coloris colores coloribus colorum colorem,111
columna,columna,column ,columna columnas columnis columnam columnarum columnae,17
comburens,comburens,combure ,comburant comburata comburendos comburam comburate comburentibus combussisse comburenda comburebatur comburaturas comburavero combustum comburatis comburor combustus comburare combusserant combusserim comburaveritis comburaverit combusserint combusti combusturae comburaturarum comburendorum comburature combussit comburantur comburebamus combusturam comburaveras comburavisti comburemur comburendas combureretur comburaveratis combussi comburentem comburavit combusture combustu comburente combustorum comburendum comburerere comburebas combussero comburebat combussissem comburendae comburendam comburavissem comburaverant comburebam combureremur combureremini comburaveramus comburebar comburatos comburar comburentes combusturi comburatae comburavere combustam combureris comburebare combureret comburavissemus combustos comburatorum comburaverat combureretis comburentur comburere combureres comburerent comburaturis combussissemus comburitor comburerem comburis comburavimus comburent combusseritis comburerer comburas combusserat comburemus combussisset comburunt comburaturi comburamini comburaverim comburaverunt comburendus combusta comburemini comburebamur comburet comburentia comburavistis combure comburito comburetur comburavisse comburat comburaturae comburaveris comburaverimus comburuntur comburatarum combusseratis comburo comburamur comburimur comburaveram comburebant comburavi combussere comburite comburatus comburendis combureremus comburebaris combusseras combussissent comburit comburatam comburentium comburatura combustis combussimus combustas combures combuste combusserunt combusturum combusseram combusturo comburamus combustae comburitote combussisses comburavisses combusturarum comburenti combusto comburunto comburuntor comburentis comburatu comburereris combusseramus comburebantur comburendarum combusturis combusserit comburi comburaturorum comburitis combussistis comburaturo comburato comburimini combusturorum comburaturum combustarum comburens comburatum comburimus comburerentur comburatur comburebatis comburetis combusseris comburaturos comburaverint comburavissetis comburaturus comburaturam combussisti comburaris comburatas combusserimus comburavissent combusturus combussissetis combusturos comburendo comburebamini combustura comburavisset comburendi comburati combusturas comburitur comburentum comburende,4
combustibilis,combustibilis,combustibil ,combustibilis combustibili combustibilem combustibile combustibilia combustibiliarum combustibilias combustibiliis,3
combustio,combustio,combusti ,combustionem combustiones combustioni combustionis combustionum combustio combustione combustionibus,5
cometa,cometa,comet ,cometa cometi cometas cometis cometae cometen comete cometam cometa Cometae cometarum cometes,8
commis,gummi,comm ,commibus commi commium commis commes commem gummi comme gumme gummes gummium gummibus gummis,5
commixtio,commixtio,commixti ,commixtionibus commixtione commixtio commixtioni commixtionem commixtionum commixtionis commixtiones,4
complexio,complexio,complexi ,complexionem complexioni complexiones complexione complexio complexionum complexionibus complexionis,4
